0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/jquery/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/bootstrap/js/bootstrap.min.js HTTP/1.1" 404 736
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/popper/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/datatables/JSZip-2.5.0/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/datatables/Buttons-1.5.6/js/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/datatables/pdfmake-0.1.36/pdfmake.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/datatables/pdfmake-0.1.36/vfs_fonts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/image/usuario.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/datatables/datatables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:39 +0200] "GET /Proyect/datatables/Buttons-1.5.6/js/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:42 +0200] "GET /Proyect/servletpedido?ejecutar=listarNuevo HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Aug/2023:16:42:42 +0200] "GET /Proyect/servletpedido?ejecutar=listar HTTP/1.1" 200 38539
